Orth,Phon
ào,aw˧
àu,ăw˧
ày,ăj˧
á,a˧
ái,aj˧
áo,aw˧
áu,ăw˧
áy,ăj˧
â,ɤ̆˧
âu,ɤ̆w˧
ây,ɤ̆j˧
ã,a˧˥
ãi,aj˧˥
ão,aw˧˥
ãu,ăw˧˥
ãy,ăj˧˥
è,ɛ˧
èo,ew˧
é,ɛ˧
éo,ew˧
ê,e˧
êu,ɛu˧
ì,i˧
ìa,iə˧
ìu,iw˧
í,i˧
ía,iə˧
íu,iw˧
ò,ɔ˧
òa,wa˧
òe,we˧
òeo,wew˧
òi,ɔj˧
òo,ɔ˧
ó,ɔ˧
óa,wa˧
óe,we˧
óeo,wew˧
ói,ɔj˧
óo,ɔ˧
ô,o˧
ôi,oj˧
ôô,o˧
ôố,o˧
ôồ,o˧
ôổ,o˧˩˧
ôỗ,o˧˥
ôộ,o˧˩
õ,ɔ˧˥
õa,wa˧˥
õe,we˧˥
õeo,wew˧˥
õi,ɔj˧˥
õo,ɔ˧˥
ù,u˧
ùa,uə˧
ùi,uj˧
ùy,uj˧
ú,u˧
úa,uə˧
úi,uj˧
úy,uj˧
ý,i
ă,ă˧
đ,d
ĩ,i˧˥
ĩa,iə˧˥
ĩu,iw˧˥
ũ,u˧˥
ũa,uə˧˥
ũi,uj˧˥
ũy,uj˧˥
ơ,ɤ˧
ơi,ɤj˧
ư,ɯ˧
ưa,ɯə˧
ưi,ɯj˧
ưu,ɯw˧
ươ,ɯə˧
ươi,ɯəj˧
ươu,ɯəw˧
ướ,ɯə˧
ưới,ɯəj˧
ướu,ɯəw˧
ườ,ɯə˧
ười,ɯəj˧
ườu,ɯəw˧
ưở,ɯə˧˩˧
ưởi,ɯəj˧˩˧
ưởu,ɯəw˧˩˧
ưỡ,ɯə˧˥
ưỡi,ɯəj˧˥
ưỡu,ɯəw˧˥
ượ,ɯə˧˩
ượi,ɯəj˧˩
ượu,ɯəw˧˩
ạ,a˧˩
ại,aj˧˩
ạo,aw˧˩
ạu,ăw˧˩
ạy,ăj˧˩
ả,a˧˩˧
ải,aj˧˩˧
ảo,aw˧˩˧
ảu,ăw˧˩˧
ảy,ăj˧˩˧
ấ,ɤ̆˧
ấu,ɤ̆w˧
ấy,ɤ̆j˧
ầ,ɤ̆˧
ầu,ɤ̆w˧
ầy,ɤ̆j˧
ẩ,ɤ̆˧˩˧
ẩu,ɤ̆w˧˩˧
ẩy,ɤ̆j˧˩˧
ẫ,ɤ̆˧˥
ẫu,ɤ̆w˧˥
ẫy,ɤ̆j˧˥
ậ,ɤ̆˧˩
ậu,ɤ̆w˧˩
ậy,ɤ̆j˧˩
ắ,ă˧
ằ,ă˧
ẳ,ă˧˩˧
ẵ,ă˧˥
ặ,ă˧˩
ẹ,ɛ˧˩
ẹo,ew˧˩
ẻ,ɛ˧˩˧
ẻo,ew˧˩˧
ẽ,ɛ˧˥
ẽo,ew˧˥
ế,e˧
ếu,ɛu˧
ề,e˧
ều,ɛu˧
ể,e˧˩˧
ểu,ɛu˧˩˧
ễ,e˧˥
ễu,ɛu˧˥
ệ,e˧˩
ệu,ɛu˧˩
ỉ,i˧˩˧
ỉa,iə˧˩˧
ỉu,iw˧˩˧
ị,i˧˩
ịa,iə˧˩
ịu,iw˧˩
ọ,ɔ˧˩
ọa,wa˧˩
ọe,we˧˩
ọeo,wew˧˩
ọi,ɔj˧˩
ọo,ɔ˧˩
ỏ,ɔ˧˩˧
ỏa,wa˧˩˧
ỏe,we˧˩˧
ỏeo,wew˧˩˧
ỏi,ɔj˧˩˧
ỏo,ɔ˧˩˧
ố,o˧
ối,oj˧
ốô,o˧
ồ,o˧
ồi,oj˧
ồô,o˧
ổ,o˧˩˧
ổi,oj˧˩˧
ổô,o˧˩˧
ỗ,o˧˥
ỗi,oj˧˥
ỗô,o˧˥
ộ,o˧˩
ội,oj˧˩
ộô,o˧˩
ớ,ɤ˧
ới,ɤj˧
ờ,ɤ˧
ời,ɤj˧
ở,ɤ˧˩˧
ởi,ɤj˧˩˧
ỡ,ɤ˧˥
ỡi,ɤj˧˥
ợ,ɤ˧˩
ợi,ɤj˧˩
ụ,u˧˩
ụa,uə˧˩
ụi,uj˧˩
ụy,uj˧˩
ủ,u˧˩˧
ủa,uə˧˩˧
ủi,uj˧˩˧
ủy,uj˧˩˧
ứ,ɯ˧
ứa,ɯə˧
ứi,ɯj˧
ứu,ɯw˧
ừ,ɯ˧
ừa,ɯə˧
ừi,ɯj˧
ừu,ɯw˧
ử,ɯ˧˩˧
ửa,ɯə˧˩˧
ửi,ɯj˧˩˧
ửu,ɯw˧˩˧
ữ,ɯ˧˥
ữa,ɯə˧˥
ữi,ɯj˧˥
ữu,ɯw˧˥
ự,ɯ˧˩
ựa,ɯə˧˩
ựi,ɯj˧˩
ựu,ɯw˧˩
ỳ,i
ỵ,i
ỷ,i
ỹ,i
<T>,
